( 1 , 75 ) 43
( 1 , 45 ) 18
( 2 , 40 ) 42
( 2 , 18 ) 41
( 3 , 71 ) 47
( 3 , 40 ) 1
( 4 , 56 ) 40
( 4 , 6 ) 21
( 5 , 1 ) 17
( 5 , 53 ) 46
( 6 , 35 ) 44
( 6 , 74 ) 45
( 7 , 68 ) 8
( 7 , 5 ) 11
( 8 , 66 ) 4
( 8 , 20 ) 35
( 9 , 78 ) 13
( 9 , 41 ) 33
( 10 , 73 ) 12
( 10 , 50 ) 24
( 11 , 5 ) 46
( 11 , 2 ) 33
( 12 , 65 ) 42
( 12 , 9 ) 3
( 13 , 80 ) 22
( 13 , 72 ) 3
( 14 , 51 ) 4
( 14 , 9 ) 20
( 15 , 76 ) 17
( 15 , 14 ) 12
( 16 , 56 ) 27
( 16 , 68 ) 13
( 17 , 59 ) 25
( 17 , 74 ) 20
( 18 , 79 ) 39
( 18 , 35 ) 24
( 19 , 45 ) 6
( 19 , 58 ) 46
( 20 , 81 ) 36
( 20 , 73 ) 8
( 21 , 23 ) 6
( 21 , 11 ) 42
( 22 , 36 ) 27
( 22 , 33 ) 49
( 23 , 7 ) 26
( 23 , 29 ) 28
( 24 , 61 ) 41
( 24 , 4 ) 33
( 25 , 60 ) 16
( 25 , 7 ) 27
( 26 , 76 ) 12
( 26 , 25 ) 3
( 27 , 9 ) 26
( 27 , 52 ) 13
( 28 , 33 ) 3
( 28 , 72 ) 40
( 29 , 11 ) 35
( 29 , 24 ) 1
( 30 , 5 ) 7
( 30 , 20 ) 28
( 31 , 79 ) 11
( 31 , 73 ) 6
( 32 , 52 ) 9
( 32 , 52 ) 45
( 33 , 63 ) 17
( 33 , 77 ) 32
( 34 , 64 ) 30
( 34 , 64 ) 45
( 35 , 81 ) 13
( 35 , 75 ) 1
( 36 , 18 ) 13
( 36 , 31 ) 31
( 37 , 47 ) 19
( 37 , 26 ) 34
( 38 , 49 ) 44
( 38 , 55 ) 21
( 39 , 26 ) 25
( 39 , 21 ) 5
( 40 , 19 ) 44
( 40 , 26 ) 35
( 41 , 21 ) 31
( 41 , 79 ) 33
( 42 , 5 ) 30
( 42 , 52 ) 26
( 43 , 24 ) 46
( 43 , 15 ) 18
( 44 , 42 ) 43
( 44 , 34 ) 17
( 45 , 65 ) 21
( 45 , 21 ) 43
( 46 , 13 ) 33
( 46 , 19 ) 38
( 47 , 19 ) 42
( 47 , 71 ) 7
( 48 , 56 ) 39
( 48 , 53 ) 17
( 49 , 3 ) 1
( 49 , 62 ) 4
( 50 , 51 ) 9
( 50 , 46 ) 26
( 51 , 55 ) 45
( 51 , 20 ) 13
( 52 , 73 ) 11
( 52 , 75 ) 45
( 53 , 20 ) 49
( 53 , 10 ) 32
( 54 , 28 ) 4
( 54 , 18 ) 25
( 55 , 24 ) 12
( 55 , 67 ) 35
( 56 , 61 ) 19
( 56 , 73 ) 24
( 57 , 66 ) 28
( 57 , 76 ) 7
( 58 , 80 ) 2
( 58 , 4 ) 40
( 59 , 54 ) 7
( 59 , 40 ) 38
( 60 , 28 ) 45
( 60 , 15 ) 45
( 61 , 81 ) 30
( 61 , 15 ) 49
( 62 , 2 ) 16
( 62 , 66 ) 43
( 63 , 48 ) 8
( 63 , 20 ) 33
( 64 , 30 ) 12
( 64 , 65 ) 35
( 65 , 28 ) 3
( 65 , 12 ) 16
( 66 , 71 ) 4
( 66 , 29 ) 24
( 67 , 27 ) 14
( 67 , 22 ) 25
( 68 , 69 ) 26
( 68 , 21 ) 32
( 69 , 36 ) 2
( 69 , 13 ) 13
( 70 , 28 ) 48
( 70 , 77 ) 32
( 71 , 48 ) 11
( 71 , 70 ) 25
( 72 , 26 ) 39
( 72 , 63 ) 32
( 73 , 62 ) 11
( 73 , 66 ) 22
( 74 , 18 ) 48
( 74 , 10 ) 5
( 75 , 8 ) 27
( 75 , 52 ) 8
( 76 , 60 ) 45
( 76 , 46 ) 34
( 77 , 2 ) 11
( 77 , 32 ) 20
( 78 , 39 ) 21
( 78 , 78 ) 18
( 79 , 20 ) 7
( 79 , 36 ) 33
( 80 , 37 ) 27
( 80 , 13 ) 8
( 81 , 19 ) 23
( 81 , 15 ) 15
