( 1 , 15 ) 7
( 1 , 16 ) 29
( 2 , 8 ) 17
( 2 , 1 ) 35
( 3 , 26 ) 15
( 3 , 27 ) 32
( 4 , 16 ) 33
( 4 , 13 ) 49
( 5 , 6 ) 20
( 5 , 21 ) 13
( 6 , 3 ) 43
( 6 , 13 ) 35
( 7 , 11 ) 6
( 7 , 5 ) 8
( 8 , 4 ) 34
( 8 , 22 ) 7
( 9 , 16 ) 38
( 9 , 6 ) 47
( 10 , 3 ) 28
( 10 , 21 ) 46
( 11 , 23 ) 41
( 11 , 25 ) 33
( 12 , 24 ) 41
( 12 , 25 ) 14
( 13 , 26 ) 47
( 13 , 6 ) 45
( 14 , 17 ) 2
( 14 , 19 ) 5
( 15 , 16 ) 50
( 15 , 14 ) 8
( 16 , 13 ) 9
( 16 , 14 ) 29
( 17 , 1 ) 30
( 17 , 15 ) 41
( 18 , 20 ) 42
( 18 , 18 ) 36
( 19 , 25 ) 9
( 19 , 25 ) 43
( 20 , 8 ) 40
( 20 , 5 ) 15
( 21 , 16 ) 4
( 21 , 8 ) 11
( 22 , 19 ) 34
( 22 , 17 ) 43
( 23 , 16 ) 27
( 23 , 23 ) 47
( 24 , 17 ) 34
( 24 , 18 ) 32
( 25 , 23 ) 25
( 25 , 5 ) 10
( 26 , 18 ) 15
( 26 , 6 ) 26
( 27 , 13 ) 9
( 27 , 25 ) 27
