( 1 , 152 ) 3
( 1 , 144 ) 12
( 1 , 408 ) 19
( 2 , 537 ) 1
( 2 , 580 ) 31
( 2 , 49 ) 37
( 3 , 75 ) 8
( 3 , 256 ) 23
( 3 , 713 ) 50
( 4 , 425 ) 40
( 4 , 55 ) 25
( 4 , 170 ) 48
( 5 , 396 ) 38
( 5 , 630 ) 12
( 5 , 611 ) 40
( 6 , 280 ) 33
( 6 , 632 ) 30
( 6 , 700 ) 24
( 7 , 155 ) 27
( 7 , 38 ) 44
( 7 , 341 ) 10
( 8 , 541 ) 35
( 8 , 725 ) 41
( 8 , 559 ) 41
( 9 , 39 ) 5
( 9 , 718 ) 12
( 9 , 90 ) 31
( 10 , 200 ) 43
( 10 , 37 ) 32
( 10 , 329 ) 49
( 11 , 320 ) 50
( 11 , 591 ) 50
( 11 , 174 ) 22
( 12 , 44 ) 2
( 12 , 22 ) 40
( 12 , 271 ) 27
( 13 , 344 ) 34
( 13 , 330 ) 8
( 13 , 285 ) 40
( 14 , 54 ) 9
( 14 , 330 ) 15
( 14 , 149 ) 29
( 15 , 616 ) 1
( 15 , 598 ) 10
( 15 , 535 ) 20
( 16 , 385 ) 3
( 16 , 33 ) 38
( 16 , 719 ) 11
( 17 , 498 ) 9
( 17 , 124 ) 5
( 17 , 538 ) 6
( 18 , 712 ) 23
( 18 , 675 ) 13
( 18 , 76 ) 11
( 19 , 175 ) 29
( 19 , 334 ) 37
( 19 , 285 ) 7
( 20 , 447 ) 32
( 20 , 551 ) 11
( 20 , 175 ) 40
( 21 , 688 ) 13
( 21 , 197 ) 39
( 21 , 19 ) 48
( 22 , 405 ) 19
( 22 , 18 ) 18
( 22 , 226 ) 36
( 23 , 468 ) 24
( 23 , 128 ) 43
( 23 , 154 ) 3
( 24 , 726 ) 22
( 24 , 206 ) 30
( 24 , 52 ) 12
( 25 , 70 ) 11
( 25 , 59 ) 3
( 25 , 113 ) 14
( 26 , 603 ) 17
( 26 , 177 ) 50
( 26 , 185 ) 16
( 27 , 355 ) 30
( 27 , 172 ) 7
( 27 , 178 ) 41
( 28 , 109 ) 2
( 28 , 721 ) 41
( 28 , 289 ) 8
( 29 , 87 ) 10
( 29 , 59 ) 28
( 29 , 27 ) 14
( 30 , 179 ) 42
( 30 , 223 ) 18
( 30 , 18 ) 43
( 31 , 134 ) 16
( 31 , 691 ) 46
( 31 , 292 ) 17
( 32 , 476 ) 47
( 32 , 231 ) 10
( 32 , 634 ) 40
( 33 , 463 ) 24
( 33 , 624 ) 4
( 33 , 589 ) 17
( 34 , 687 ) 28
( 34 , 439 ) 22
( 34 , 513 ) 37
( 35 , 631 ) 1
( 35 , 132 ) 25
( 35 , 708 ) 39
( 36 , 227 ) 15
( 36 , 522 ) 35
( 36 , 723 ) 6
( 37 , 475 ) 22
( 37 , 139 ) 3
( 37 , 215 ) 3
( 38 , 87 ) 4
( 38 , 586 ) 23
( 38 , 69 ) 16
( 39 , 633 ) 50
( 39 , 212 ) 34
( 39 , 636 ) 9
( 40 , 666 ) 50
( 40 , 591 ) 44
( 40 , 114 ) 16
( 41 , 181 ) 46
( 41 , 370 ) 4
( 41 , 261 ) 9
( 42 , 308 ) 4
( 42 , 248 ) 34
( 42 , 63 ) 31
( 43 , 605 ) 33
( 43 , 673 ) 42
( 43 , 411 ) 12
