( 1 , 32 ) 23
( 1 , 189 ) 11
( 2 , 28 ) 6
( 2 , 112 ) 21
( 3 , 98 ) 12
( 3 , 203 ) 22
( 4 , 69 ) 12
( 4 , 140 ) 48
( 5 , 198 ) 47
( 5 , 4 ) 20
( 6 , 155 ) 9
( 6 , 226 ) 44
( 7 , 196 ) 12
( 7 , 91 ) 20
( 8 , 69 ) 25
( 8 , 77 ) 18
( 9 , 18 ) 8
( 9 , 2 ) 43
( 10 , 58 ) 30
( 10 , 212 ) 28
( 11 , 154 ) 10
( 11 , 233 ) 47
( 12 , 177 ) 19
( 12 , 37 ) 31
( 13 , 127 ) 23
( 13 , 231 ) 1
( 14 , 120 ) 49
( 14 , 84 ) 31
( 15 , 145 ) 45
( 15 , 203 ) 39
( 16 , 129 ) 42
( 16 , 104 ) 50
( 17 , 183 ) 2
( 17 , 153 ) 23
( 18 , 239 ) 6
( 18 , 156 ) 45
( 19 , 151 ) 5
( 19 , 98 ) 27
( 20 , 106 ) 25
( 20 , 182 ) 17
( 21 , 231 ) 36
( 21 , 3 ) 18
( 22 , 237 ) 40
( 22 , 71 ) 5
( 23 , 168 ) 32
( 23 , 204 ) 27
( 24 , 11 ) 27
( 24 , 22 ) 46
( 25 , 236 ) 18
( 25 , 197 ) 28
( 26 , 220 ) 12
( 26 , 19 ) 43
( 27 , 209 ) 8
( 27 , 10 ) 49
( 28 , 162 ) 28
( 28 , 61 ) 31
( 29 , 240 ) 41
( 29 , 122 ) 1
( 30 , 111 ) 29
( 30 , 80 ) 19
( 31 , 26 ) 11
( 31 , 94 ) 26
( 32 , 42 ) 45
( 32 , 173 ) 48
( 33 , 136 ) 14
( 33 , 133 ) 5
( 34 , 84 ) 2
( 34 , 143 ) 33
( 35 , 46 ) 48
( 35 , 239 ) 42
( 36 , 39 ) 23
( 36 , 8 ) 32
( 37 , 178 ) 38
( 37 , 121 ) 47
( 38 , 60 ) 32
( 38 , 234 ) 41
( 39 , 50 ) 32
( 39 , 166 ) 35
( 40 , 122 ) 3
( 40 , 154 ) 3
( 41 , 45 ) 18
( 41 , 146 ) 43
( 42 , 104 ) 5
( 42 , 190 ) 48
( 43 , 124 ) 49
( 43 , 96 ) 27
( 44 , 12 ) 34
( 44 , 65 ) 30
( 45 , 194 ) 29
( 45 , 72 ) 3
( 46 , 107 ) 32
( 46 , 47 ) 2
( 47 , 213 ) 29
( 47 , 4 ) 9
( 48 , 24 ) 15
( 48 , 135 ) 2
( 49 , 61 ) 6
( 49 , 121 ) 38
( 50 , 126 ) 19
( 50 , 218 ) 47
( 51 , 54 ) 4
( 51 , 90 ) 31
( 52 , 193 ) 24
( 52 , 114 ) 7
( 53 , 241 ) 14
( 53 , 100 ) 14
( 54 , 14 ) 39
( 54 , 199 ) 41
( 55 , 50 ) 2
( 55 , 69 ) 31
( 56 , 29 ) 20
( 56 , 233 ) 26
( 57 , 202 ) 2
( 57 , 107 ) 25
( 58 , 111 ) 5
( 58 , 239 ) 12
( 59 , 61 ) 35
( 59 , 53 ) 19
( 60 , 227 ) 33
( 60 , 156 ) 11
( 61 , 158 ) 41
( 61 , 33 ) 25
( 62 , 52 ) 36
( 62 , 237 ) 15
( 63 , 80 ) 36
( 63 , 88 ) 4
( 64 , 158 ) 12
( 64 , 202 ) 46
( 65 , 159 ) 46
( 65 , 62 ) 17
( 66 , 208 ) 27
( 66 , 141 ) 16
( 67 , 175 ) 2
( 67 , 154 ) 2
( 68 , 24 ) 2
( 68 , 220 ) 19
( 69 , 34 ) 42
( 69 , 66 ) 30
( 70 , 45 ) 31
( 70 , 73 ) 29
( 71 , 86 ) 7
( 71 , 72 ) 41
( 72 , 97 ) 13
( 72 , 157 ) 23
( 73 , 12 ) 26
( 73 , 68 ) 47
( 74 , 142 ) 46
( 74 , 174 ) 39
( 75 , 194 ) 10
( 75 , 221 ) 12
( 76 , 23 ) 5
( 76 , 97 ) 10
( 77 , 124 ) 47
( 77 , 60 ) 1
( 78 , 233 ) 4
( 78 , 92 ) 24
( 79 , 33 ) 14
( 79 , 230 ) 43
