( 1 , 165 ) 25
( 1 , 124 ) 20
( 1 , 233 ) 28
( 2 , 209 ) 11
( 2 , 191 ) 41
( 2 , 92 ) 30
( 3 , 225 ) 26
( 3 , 132 ) 28
( 3 , 167 ) 45
( 4 , 203 ) 34
( 4 , 179 ) 48
( 4 , 114 ) 27
( 5 , 125 ) 47
( 5 , 218 ) 6
( 5 , 241 ) 20
( 6 , 160 ) 28
( 6 , 212 ) 40
( 6 , 52 ) 15
( 7 , 204 ) 11
( 7 , 206 ) 50
( 7 , 60 ) 20
( 8 , 218 ) 18
( 8 , 206 ) 46
( 8 , 139 ) 11
( 9 , 165 ) 7
( 9 , 219 ) 45
( 9 , 114 ) 42
( 10 , 136 ) 18
( 10 , 98 ) 4
( 10 , 130 ) 18
( 11 , 45 ) 6
( 11 , 11 ) 13
( 11 , 136 ) 10
( 12 , 118 ) 31
( 12 , 34 ) 3
( 12 , 69 ) 20
( 13 , 91 ) 40
( 13 , 163 ) 39
( 13 , 70 ) 46
( 14 , 156 ) 49
( 14 , 181 ) 1
( 14 , 234 ) 34
( 15 , 241 ) 15
( 15 , 33 ) 47
( 15 , 184 ) 26
( 16 , 143 ) 24
( 16 , 81 ) 28
( 16 , 129 ) 4
( 17 , 45 ) 29
( 17 , 88 ) 17
( 17 , 215 ) 45
( 18 , 164 ) 19
( 18 , 107 ) 32
( 18 , 206 ) 9
( 19 , 27 ) 50
( 19 , 171 ) 1
( 19 , 39 ) 1
( 20 , 186 ) 7
( 20 , 210 ) 11
( 20 , 35 ) 30
( 21 , 95 ) 24
( 21 , 217 ) 14
( 21 , 99 ) 1
( 22 , 37 ) 9
( 22 , 166 ) 31
( 22 , 225 ) 7
( 23 , 210 ) 20
( 23 , 190 ) 27
( 23 , 198 ) 50
( 24 , 59 ) 27
( 24 , 228 ) 42
( 24 , 6 ) 43
( 25 , 239 ) 5
( 25 , 84 ) 40
( 25 , 136 ) 3
( 26 , 168 ) 44
( 26 , 115 ) 27
( 26 , 191 ) 30
( 27 , 34 ) 39
( 27 , 6 ) 39
( 27 , 231 ) 12
( 28 , 225 ) 33
( 28 , 21 ) 35
( 28 , 166 ) 7
( 29 , 17 ) 3
( 29 , 177 ) 11
( 29 , 152 ) 5
( 30 , 65 ) 34
( 30 , 114 ) 47
( 30 , 4 ) 7
( 31 , 80 ) 48
( 31 , 32 ) 35
( 31 , 66 ) 45
( 32 , 162 ) 45
( 32 , 84 ) 17
( 32 , 181 ) 15
( 33 , 88 ) 19
( 33 , 188 ) 43
( 33 , 155 ) 39
( 34 , 205 ) 1
( 34 , 173 ) 44
( 34 , 128 ) 6
( 35 , 94 ) 22
( 35 , 177 ) 12
( 35 , 202 ) 26
( 36 , 202 ) 12
( 36 , 21 ) 17
( 36 , 181 ) 13
( 37 , 95 ) 39
( 37 , 179 ) 13
( 37 , 11 ) 19
( 38 , 111 ) 45
( 38 , 120 ) 42
( 38 , 117 ) 1
( 39 , 126 ) 2
( 39 , 51 ) 23
( 39 , 72 ) 49
( 40 , 54 ) 10
( 40 , 16 ) 43
( 40 , 115 ) 19
( 41 , 149 ) 10
( 41 , 88 ) 11
( 41 , 127 ) 33
( 42 , 108 ) 6
( 42 , 229 ) 13
( 42 , 28 ) 8
( 43 , 157 ) 16
( 43 , 77 ) 19
( 43 , 211 ) 47
( 44 , 5 ) 20
( 44 , 62 ) 19
( 44 , 161 ) 29
( 45 , 153 ) 48
( 45 , 185 ) 19
( 45 , 4 ) 10
( 46 , 127 ) 7
( 46 , 75 ) 39
( 46 , 129 ) 40
( 47 , 58 ) 29
( 47 , 225 ) 38
( 47 , 162 ) 47
( 48 , 140 ) 48
( 48 , 3 ) 40
( 48 , 7 ) 5
( 49 , 196 ) 6
( 49 , 102 ) 26
( 49 , 34 ) 44
( 50 , 211 ) 29
( 50 , 172 ) 18
( 50 , 144 ) 9
( 51 , 89 ) 42
( 51 , 159 ) 32
( 51 , 148 ) 19
( 52 , 151 ) 20
( 52 , 54 ) 30
( 52 , 200 ) 1
( 53 , 234 ) 8
( 53 , 228 ) 35
( 53 , 167 ) 45
( 54 , 152 ) 7
( 54 , 198 ) 14
( 54 , 54 ) 14
( 55 , 129 ) 37
( 55 , 101 ) 30
( 55 , 41 ) 37
( 56 , 54 ) 8
( 56 , 115 ) 15
( 56 , 109 ) 28
( 57 , 37 ) 35
( 57 , 67 ) 17
( 57 , 162 ) 13
( 58 , 206 ) 1
( 58 , 6 ) 39
( 58 , 170 ) 37
( 59 , 201 ) 5
( 59 , 53 ) 30
( 59 , 14 ) 5
( 60 , 4 ) 27
( 60 , 4 ) 47
( 60 , 206 ) 3
( 61 , 111 ) 46
( 61 , 200 ) 24
( 61 , 183 ) 40
( 62 , 173 ) 48
( 62 , 186 ) 24
( 62 , 84 ) 16
( 63 , 95 ) 1
( 63 , 11 ) 27
( 63 , 20 ) 42
( 64 , 98 ) 6
( 64 , 27 ) 11
( 64 , 208 ) 3
( 65 , 117 ) 42
( 65 , 52 ) 39
( 65 , 24 ) 19
( 66 , 113 ) 22
( 66 , 49 ) 4
( 66 , 112 ) 35
( 67 , 168 ) 41
( 67 , 104 ) 42
( 67 , 54 ) 37
( 68 , 82 ) 50
( 68 , 179 ) 6
( 68 , 204 ) 33
( 69 , 150 ) 6
( 69 , 23 ) 7
( 69 , 35 ) 3
( 70 , 17 ) 48
( 70 , 131 ) 25
( 70 , 234 ) 8
( 71 , 196 ) 14
( 71 , 16 ) 22
( 71 , 202 ) 32
( 72 , 5 ) 10
( 72 , 38 ) 16
( 72 , 237 ) 27
( 73 , 158 ) 23
( 73 , 161 ) 33
( 73 , 28 ) 29
( 74 , 73 ) 40
( 74 , 39 ) 27
( 74 , 10 ) 4
( 75 , 145 ) 45
( 75 , 188 ) 12
( 75 , 41 ) 45
( 76 , 59 ) 22
( 76 , 190 ) 7
( 76 , 238 ) 25
( 77 , 176 ) 23
( 77 , 108 ) 25
( 77 , 189 ) 49
( 78 , 86 ) 34
( 78 , 233 ) 50
( 78 , 134 ) 13
( 79 , 134 ) 31
( 79 , 235 ) 1
( 79 , 80 ) 30
( 80 , 39 ) 27
( 80 , 14 ) 32
( 80 , 51 ) 43
( 81 , 29 ) 1
( 81 , 18 ) 7
( 81 , 9 ) 44
( 82 , 174 ) 49
( 82 , 72 ) 10
( 82 , 43 ) 50
( 83 , 61 ) 20
( 83 , 122 ) 27
( 83 , 174 ) 30
( 84 , 237 ) 37
( 84 , 181 ) 43
( 84 , 222 ) 48
( 85 , 192 ) 27
( 85 , 68 ) 40
( 85 , 155 ) 44
( 86 , 209 ) 21
( 86 , 150 ) 32
( 86 , 73 ) 12
( 87 , 88 ) 27
( 87 , 4 ) 44
( 87 , 221 ) 2
( 88 , 212 ) 7
( 88 , 160 ) 28
( 88 , 35 ) 20
( 89 , 164 ) 14
( 89 , 7 ) 15
( 89 , 78 ) 42
( 90 , 135 ) 17
( 90 , 37 ) 21
( 90 , 177 ) 5
( 91 , 18 ) 50
( 91 , 167 ) 26
( 91 , 60 ) 3
( 92 , 86 ) 10
( 92 , 51 ) 22
( 92 , 62 ) 10
( 93 , 67 ) 30
( 93 , 132 ) 30
( 93 , 202 ) 50
( 94 , 189 ) 42
( 94 , 130 ) 44
( 94 , 98 ) 26
( 95 , 162 ) 7
( 95 , 57 ) 40
( 95 , 166 ) 37
( 96 , 122 ) 14
( 96 , 149 ) 15
( 96 , 178 ) 2
( 97 , 202 ) 15
( 97 , 155 ) 35
( 97 , 123 ) 8
( 98 , 11 ) 29
( 98 , 219 ) 34
( 98 , 174 ) 5
( 99 , 240 ) 19
( 99 , 204 ) 36
( 99 , 159 ) 35
( 100 , 148 ) 46
( 100 , 206 ) 45
( 100 , 90 ) 49
( 101 , 31 ) 12
( 101 , 121 ) 11
( 101 , 68 ) 42
( 102 , 201 ) 44
( 102 , 227 ) 31
( 102 , 186 ) 38
( 103 , 170 ) 32
( 103 , 80 ) 33
( 103 , 191 ) 27
( 104 , 234 ) 16
( 104 , 63 ) 25
( 104 , 134 ) 30
( 105 , 137 ) 46
( 105 , 49 ) 18
( 105 , 95 ) 2
( 106 , 213 ) 41
( 106 , 143 ) 37
( 106 , 68 ) 6
( 107 , 77 ) 40
( 107 , 176 ) 44
( 107 , 93 ) 37
( 108 , 96 ) 37
( 108 , 37 ) 7
( 108 , 31 ) 19
( 109 , 177 ) 12
( 109 , 127 ) 13
( 109 , 243 ) 47
( 110 , 15 ) 31
( 110 , 15 ) 4
( 110 , 136 ) 16
( 111 , 121 ) 13
( 111 , 180 ) 46
( 111 , 25 ) 12
( 112 , 74 ) 21
( 112 , 46 ) 11
( 112 , 237 ) 43
( 113 , 118 ) 24
( 113 , 1 ) 30
( 113 , 37 ) 10
( 114 , 97 ) 31
( 114 , 173 ) 32
( 114 , 205 ) 13
( 115 , 154 ) 42
( 115 , 74 ) 33
( 115 , 164 ) 34
( 116 , 195 ) 30
( 116 , 36 ) 41
( 116 , 217 ) 8
( 117 , 51 ) 24
( 117 , 243 ) 31
( 117 , 30 ) 46
( 118 , 183 ) 50
( 118 , 180 ) 9
( 118 , 199 ) 31
( 119 , 162 ) 35
( 119 , 179 ) 30
( 119 , 128 ) 24
( 120 , 139 ) 28
( 120 , 121 ) 19
( 120 , 242 ) 40
( 121 , 82 ) 12
( 121 , 174 ) 48
( 121 , 91 ) 1
( 122 , 178 ) 21
( 122 , 231 ) 21
( 122 , 170 ) 6
( 123 , 215 ) 28
( 123 , 112 ) 3
( 123 , 184 ) 31
( 124 , 9 ) 21
( 124 , 27 ) 22
( 124 , 197 ) 13
( 125 , 184 ) 47
( 125 , 212 ) 22
( 125 , 39 ) 33
( 126 , 229 ) 10
( 126 , 210 ) 23
( 126 , 71 ) 11
( 127 , 108 ) 4
( 127 , 182 ) 47
( 127 , 37 ) 8
( 128 , 21 ) 18
( 128 , 203 ) 46
( 128 , 242 ) 26
( 129 , 80 ) 41
( 129 , 219 ) 12
( 129 , 32 ) 16
( 130 , 188 ) 35
( 130 , 80 ) 32
( 130 , 62 ) 39
( 131 , 136 ) 10
( 131 , 102 ) 47
( 131 , 118 ) 45
( 132 , 46 ) 19
( 132 , 167 ) 13
( 132 , 126 ) 8
( 133 , 239 ) 13
( 133 , 124 ) 37
( 133 , 213 ) 12
( 134 , 81 ) 21
( 134 , 49 ) 40
( 134 , 173 ) 31
( 135 , 221 ) 5
( 135 , 42 ) 23
( 135 , 161 ) 5
( 136 , 110 ) 43
( 136 , 23 ) 33
( 136 , 231 ) 5
( 137 , 39 ) 45
( 137 , 233 ) 9
( 137 , 88 ) 5
( 138 , 193 ) 48
( 138 , 102 ) 37
( 138 , 55 ) 17
( 139 , 199 ) 16
( 139 , 54 ) 44
( 139 , 111 ) 27
( 140 , 180 ) 24
( 140 , 55 ) 12
( 140 , 212 ) 35
( 141 , 67 ) 11
( 141 , 170 ) 24
( 141 , 205 ) 26
( 142 , 128 ) 2
( 142 , 25 ) 13
( 142 , 199 ) 34
( 143 , 58 ) 23
( 143 , 210 ) 21
( 143 , 225 ) 7
( 144 , 35 ) 6
( 144 , 98 ) 34
( 144 , 51 ) 12
( 145 , 202 ) 19
( 145 , 37 ) 32
( 145 , 21 ) 42
( 146 , 201 ) 8
( 146 , 179 ) 38
( 146 , 104 ) 28
( 147 , 157 ) 5
( 147 , 56 ) 24
( 147 , 174 ) 30
( 148 , 48 ) 10
( 148 , 173 ) 24
( 148 , 122 ) 35
( 149 , 111 ) 41
( 149 , 93 ) 8
( 149 , 177 ) 34
( 150 , 186 ) 24
( 150 , 135 ) 45
( 150 , 152 ) 31
( 151 , 139 ) 48
( 151 , 189 ) 15
( 151 , 96 ) 17
( 152 , 145 ) 28
( 152 , 140 ) 7
( 152 , 188 ) 40
( 153 , 86 ) 3
( 153 , 212 ) 19
( 153 , 133 ) 36
( 154 , 98 ) 27
( 154 , 189 ) 26
( 154 , 140 ) 36
( 155 , 200 ) 29
( 155 , 73 ) 18
( 155 , 194 ) 21
( 156 , 218 ) 45
( 156 , 33 ) 33
( 156 , 95 ) 10
( 157 , 63 ) 16
( 157 , 13 ) 31
( 157 , 185 ) 32
( 158 , 27 ) 30
( 158 , 98 ) 12
( 158 , 33 ) 27
( 159 , 141 ) 44
( 159 , 222 ) 49
( 159 , 32 ) 46
( 160 , 135 ) 38
( 160 , 227 ) 49
( 160 , 132 ) 7
( 161 , 225 ) 22
( 161 , 161 ) 28
( 161 , 241 ) 34
( 162 , 66 ) 30
( 162 , 200 ) 45
( 162 , 188 ) 9
( 163 , 100 ) 14
( 163 , 125 ) 27
( 163 , 125 ) 24
( 164 , 45 ) 16
( 164 , 100 ) 7
( 164 , 181 ) 38
( 165 , 102 ) 6
( 165 , 88 ) 46
( 165 , 92 ) 35
( 166 , 187 ) 5
( 166 , 64 ) 13
( 166 , 53 ) 22
( 167 , 143 ) 16
( 167 , 85 ) 9
( 167 , 95 ) 4
( 168 , 78 ) 19
( 168 , 194 ) 31
( 168 , 121 ) 46
( 169 , 90 ) 35
( 169 , 43 ) 12
( 169 , 77 ) 8
( 170 , 195 ) 13
( 170 , 8 ) 2
( 170 , 170 ) 21
( 171 , 95 ) 1
( 171 , 178 ) 12
( 171 , 75 ) 35
( 172 , 165 ) 46
( 172 , 104 ) 47
( 172 , 231 ) 31
( 173 , 181 ) 18
( 173 , 225 ) 45
( 173 , 141 ) 18
( 174 , 88 ) 31
( 174 , 184 ) 30
( 174 , 5 ) 15
( 175 , 84 ) 8
( 175 , 90 ) 41
( 175 , 2 ) 3
( 176 , 117 ) 44
( 176 , 103 ) 21
( 176 , 236 ) 20
( 177 , 91 ) 33
( 177 , 161 ) 36
( 177 , 23 ) 6
( 178 , 42 ) 30
( 178 , 211 ) 3
( 178 , 80 ) 27
( 179 , 3 ) 33
( 179 , 7 ) 48
( 179 , 121 ) 35
( 180 , 71 ) 16
( 180 , 112 ) 34
( 180 , 52 ) 35
( 181 , 7 ) 36
( 181 , 162 ) 24
( 181 , 39 ) 22
( 182 , 25 ) 12
( 182 , 135 ) 29
( 182 , 94 ) 44
( 183 , 58 ) 46
( 183 , 183 ) 22
( 183 , 36 ) 29
( 184 , 80 ) 13
( 184 , 179 ) 11
( 184 , 87 ) 38
( 185 , 125 ) 13
( 185 , 223 ) 41
( 185 , 243 ) 27
( 186 , 45 ) 29
( 186 , 102 ) 36
( 186 , 46 ) 36
( 187 , 48 ) 9
( 187 , 93 ) 10
( 187 , 72 ) 32
( 188 , 47 ) 37
( 188 , 215 ) 40
( 188 , 49 ) 38
( 189 , 171 ) 28
( 189 , 18 ) 40
( 189 , 149 ) 40
( 190 , 73 ) 28
( 190 , 19 ) 7
( 190 , 45 ) 18
( 191 , 53 ) 49
( 191 , 187 ) 4
( 191 , 171 ) 28
( 192 , 176 ) 24
( 192 , 49 ) 40
( 192 , 241 ) 43
( 193 , 169 ) 12
( 193 , 113 ) 33
( 193 , 163 ) 39
( 194 , 66 ) 6
( 194 , 15 ) 19
( 194 , 56 ) 40
( 195 , 28 ) 33
( 195 , 104 ) 12
( 195 , 231 ) 46
( 196 , 106 ) 37
( 196 , 217 ) 37
( 196 , 93 ) 6
( 197 , 159 ) 28
( 197 , 149 ) 12
( 197 , 52 ) 33
( 198 , 218 ) 35
( 198 , 80 ) 28
( 198 , 197 ) 49
( 199 , 147 ) 50
( 199 , 47 ) 7
( 199 , 153 ) 15
( 200 , 160 ) 10
( 200 , 96 ) 31
( 200 , 24 ) 31
( 201 , 205 ) 17
( 201 , 165 ) 4
( 201 , 30 ) 2
( 202 , 89 ) 44
( 202 , 226 ) 25
( 202 , 98 ) 5
( 203 , 215 ) 47
( 203 , 37 ) 29
( 203 , 143 ) 48
( 204 , 79 ) 30
( 204 , 225 ) 4
( 204 , 33 ) 36
( 205 , 188 ) 47
( 205 , 218 ) 17
( 205 , 89 ) 9
( 206 , 147 ) 23
( 206 , 123 ) 34
( 206 , 29 ) 9
( 207 , 163 ) 11
( 207 , 3 ) 48
( 207 , 108 ) 15
( 208 , 1 ) 43
( 208 , 98 ) 48
( 208 , 71 ) 29
( 209 , 83 ) 9
( 209 , 117 ) 42
( 209 , 154 ) 39
( 210 , 84 ) 17
( 210 , 85 ) 12
( 210 , 55 ) 23
( 211 , 42 ) 6
( 211 , 6 ) 30
( 211 , 228 ) 30
( 212 , 80 ) 22
( 212 , 129 ) 23
( 212 , 225 ) 45
( 213 , 72 ) 37
( 213 , 238 ) 13
( 213 , 209 ) 41
( 214 , 226 ) 7
( 214 , 28 ) 28
( 214 , 193 ) 44
( 215 , 25 ) 50
( 215 , 97 ) 46
( 215 , 3 ) 22
( 216 , 215 ) 5
( 216 , 175 ) 13
( 216 , 125 ) 4
( 217 , 83 ) 49
( 217 , 55 ) 16
( 217 , 37 ) 3
( 218 , 64 ) 9
( 218 , 21 ) 3
( 218 , 157 ) 36
( 219 , 141 ) 41
( 219 , 113 ) 35
( 219 , 187 ) 26
( 220 , 182 ) 50
( 220 , 152 ) 23
( 220 , 65 ) 11
( 221 , 184 ) 19
( 221 , 213 ) 28
