( 1 , 643 ) 12
( 1 , 691 ) 25
( 1 , 423 ) 40
( 1 , 717 ) 37
( 2 , 571 ) 21
( 2 , 720 ) 6
( 2 , 435 ) 5
( 2 , 228 ) 30
( 3 , 677 ) 24
( 3 , 612 ) 27
( 3 , 714 ) 25
( 3 , 608 ) 42
( 4 , 586 ) 34
( 4 , 720 ) 22
( 4 , 131 ) 37
( 4 , 703 ) 32
( 5 , 194 ) 38
( 5 , 88 ) 34
( 5 , 387 ) 6
( 5 , 195 ) 10
( 6 , 586 ) 37
( 6 , 679 ) 22
( 6 , 28 ) 28
( 6 , 1 ) 9
( 7 , 426 ) 2
( 7 , 40 ) 40
( 7 , 32 ) 30
( 7 , 296 ) 23
( 8 , 579 ) 41
( 8 , 80 ) 7
( 8 , 214 ) 43
( 8 , 207 ) 18
( 9 , 203 ) 6
( 9 , 378 ) 32
( 9 , 468 ) 1
( 9 , 458 ) 25
( 10 , 635 ) 44
( 10 , 100 ) 1
( 10 , 445 ) 35
( 10 , 429 ) 23
( 11 , 231 ) 40
( 11 , 267 ) 29
( 11 , 203 ) 14
( 11 , 26 ) 27
( 12 , 651 ) 8
( 12 , 449 ) 43
( 12 , 674 ) 42
( 12 , 124 ) 23
( 13 , 486 ) 13
( 13 , 77 ) 18
( 13 , 297 ) 12
( 13 , 51 ) 10
( 14 , 146 ) 10
( 14 , 409 ) 30
( 14 , 618 ) 17
( 14 , 429 ) 1
( 15 , 40 ) 37
( 15 , 590 ) 24
( 15 , 362 ) 37
( 15 , 174 ) 17
( 16 , 20 ) 17
( 16 , 118 ) 39
( 16 , 364 ) 11
( 16 , 165 ) 13
( 17 , 394 ) 7
( 17 , 213 ) 31
( 17 , 660 ) 24
( 17 , 455 ) 3
( 18 , 237 ) 3
( 18 , 371 ) 15
( 18 , 705 ) 44
( 18 , 544 ) 43
( 19 , 63 ) 24
( 19 , 88 ) 6
( 19 , 178 ) 47
( 19 , 406 ) 20
( 20 , 205 ) 4
( 20 , 694 ) 33
( 20 , 58 ) 12
( 20 , 57 ) 25
( 21 , 198 ) 50
( 21 , 721 ) 50
( 21 , 72 ) 27
( 21 , 174 ) 48
( 22 , 63 ) 23
( 22 , 716 ) 3
( 22 , 673 ) 4
( 22 , 490 ) 9
( 23 , 630 ) 12
( 23 , 353 ) 3
( 23 , 583 ) 37
( 23 , 330 ) 33
( 24 , 185 ) 2
( 24 , 502 ) 3
( 24 , 409 ) 23
( 24 , 312 ) 38
( 25 , 394 ) 37
( 25 , 477 ) 31
( 25 , 538 ) 38
( 25 , 30 ) 46
( 26 , 429 ) 2
( 26 , 316 ) 2
( 26 , 405 ) 45
( 26 , 40 ) 14
( 27 , 220 ) 44
( 27 , 460 ) 47
( 27 , 244 ) 49
( 27 , 448 ) 13
( 28 , 440 ) 22
( 28 , 453 ) 33
( 28 , 495 ) 3
( 28 , 729 ) 23
( 29 , 212 ) 28
( 29 , 215 ) 17
( 29 , 225 ) 41
( 29 , 95 ) 7
( 30 , 140 ) 5
( 30 , 665 ) 41
( 30 , 358 ) 20
( 30 , 515 ) 16
( 31 , 268 ) 48
( 31 , 615 ) 43
( 31 , 511 ) 45
( 31 , 439 ) 38
