( 1 , 89 ) 4
( 1 , 65 ) 41
( 2 , 178 ) 47
( 2 , 20 ) 40
( 3 , 109 ) 42
( 3 , 28 ) 19
( 4 , 199 ) 26
( 4 , 188 ) 32
( 5 , 109 ) 16
( 5 , 124 ) 43
( 6 , 115 ) 21
( 6 , 144 ) 21
( 7 , 229 ) 39
( 7 , 35 ) 32
( 8 , 76 ) 4
( 8 , 133 ) 28
( 9 , 73 ) 19
( 9 , 78 ) 1
( 10 , 201 ) 2
( 10 , 175 ) 7
( 11 , 19 ) 34
( 11 , 95 ) 18
( 12 , 27 ) 5
( 12 , 85 ) 19
( 13 , 6 ) 11
( 13 , 142 ) 36
( 14 , 23 ) 7
( 14 , 180 ) 48
( 15 , 84 ) 35
( 15 , 117 ) 5
( 16 , 181 ) 10
( 16 , 45 ) 19
( 17 , 143 ) 44
( 17 , 153 ) 2
( 18 , 135 ) 11
( 18 , 146 ) 19
( 19 , 108 ) 48
( 19 , 194 ) 18
( 20 , 110 ) 4
( 20 , 172 ) 23
( 21 , 11 ) 41
( 21 , 94 ) 22
( 22 , 183 ) 38
( 22 , 142 ) 45
( 23 , 97 ) 34
( 23 , 74 ) 16
( 24 , 180 ) 5
( 24 , 196 ) 5
( 25 , 153 ) 18
( 25 , 156 ) 15
( 26 , 223 ) 14
( 26 , 25 ) 26
( 27 , 35 ) 30
( 27 , 62 ) 1
( 28 , 222 ) 39
( 28 , 141 ) 32
( 29 , 112 ) 28
( 29 , 114 ) 25
( 30 , 133 ) 6
( 30 , 114 ) 3
( 31 , 161 ) 38
( 31 , 49 ) 49
( 32 , 178 ) 29
( 32 , 55 ) 12
( 33 , 77 ) 39
( 33 , 204 ) 49
( 34 , 99 ) 1
( 34 , 167 ) 22
( 35 , 98 ) 21
( 35 , 4 ) 39
( 36 , 113 ) 15
( 36 , 41 ) 36
( 37 , 136 ) 14
( 37 , 138 ) 36
( 38 , 22 ) 10
( 38 , 199 ) 46
( 39 , 45 ) 5
( 39 , 138 ) 13
( 40 , 94 ) 5
( 40 , 119 ) 43
( 41 , 117 ) 3
( 41 , 91 ) 30
( 42 , 110 ) 20
( 42 , 177 ) 46
( 43 , 134 ) 3
( 43 , 36 ) 7
( 44 , 73 ) 16
( 44 , 51 ) 30
( 45 , 64 ) 46
( 45 , 56 ) 3
( 46 , 13 ) 47
( 46 , 199 ) 36
( 47 , 234 ) 27
( 47 , 165 ) 48
( 48 , 103 ) 46
( 48 , 175 ) 2
( 49 , 143 ) 48
( 49 , 178 ) 42
( 50 , 238 ) 45
( 50 , 169 ) 34
