( 1 , 55 ) 20
( 1 , 25 ) 49
( 2 , 21 ) 34
( 2 , 57 ) 2
( 3 , 10 ) 26
( 3 , 14 ) 49
( 4 , 8 ) 26
( 4 , 78 ) 14
( 5 , 54 ) 14
( 5 , 24 ) 7
( 6 , 52 ) 47
( 6 , 58 ) 20
( 7 , 9 ) 24
( 7 , 81 ) 28
( 8 , 79 ) 30
( 8 , 51 ) 37
( 9 , 18 ) 50
( 9 , 12 ) 48
( 10 , 26 ) 25
( 10 , 47 ) 42
( 11 , 57 ) 12
( 11 , 35 ) 46
( 12 , 9 ) 31
( 12 , 36 ) 47
( 13 , 12 ) 48
( 13 , 80 ) 50
( 14 , 77 ) 25
( 14 , 39 ) 2
( 15 , 66 ) 25
( 15 , 28 ) 14
( 16 , 14 ) 48
( 16 , 21 ) 3
( 17 , 42 ) 28
( 17 , 1 ) 3
( 18 , 49 ) 50
( 18 , 70 ) 11
( 19 , 10 ) 31
( 19 , 63 ) 13
( 20 , 74 ) 32
( 20 , 76 ) 37
( 21 , 2 ) 29
( 21 , 64 ) 11
( 22 , 53 ) 25
( 22 , 19 ) 8
( 23 , 67 ) 23
( 23 , 1 ) 35
( 24 , 69 ) 29
( 24 , 5 ) 36
( 25 , 73 ) 48
( 25 , 63 ) 5
( 26 , 78 ) 41
( 26 , 43 ) 45
( 27 , 6 ) 44
( 27 , 7 ) 32
( 28 , 3 ) 9
( 28 , 66 ) 23
( 29 , 8 ) 21
( 29 , 22 ) 42
( 30 , 62 ) 3
( 30 , 48 ) 12
( 31 , 17 ) 50
( 31 , 63 ) 50
( 32 , 51 ) 30
( 32 , 64 ) 17
( 33 , 17 ) 4
( 33 , 42 ) 49
( 34 , 80 ) 46
( 34 , 10 ) 40
( 35 , 35 ) 4
( 35 , 28 ) 14
( 36 , 77 ) 30
( 36 , 23 ) 29
( 37 , 18 ) 19
( 37 , 37 ) 39
( 38 , 3 ) 2
( 38 , 23 ) 50
( 39 , 80 ) 9
( 39 , 37 ) 33
( 40 , 56 ) 44
( 40 , 51 ) 22
( 41 , 31 ) 47
( 41 , 75 ) 13
( 42 , 7 ) 50
( 42 , 73 ) 2
( 43 , 43 ) 31
( 43 , 21 ) 28
( 44 , 25 ) 47
( 44 , 81 ) 33
( 45 , 68 ) 25
( 45 , 51 ) 6
( 46 , 41 ) 19
( 46 , 25 ) 21
( 47 , 63 ) 6
( 47 , 80 ) 37
( 48 , 52 ) 1
( 48 , 57 ) 40
( 49 , 60 ) 45
( 49 , 66 ) 19
( 50 , 40 ) 10
( 50 , 12 ) 21
( 51 , 54 ) 35
( 51 , 6 ) 23
( 52 , 78 ) 17
( 52 , 79 ) 30
( 53 , 29 ) 27
( 53 , 53 ) 15
( 54 , 81 ) 20
( 54 , 53 ) 30
( 55 , 57 ) 33
( 55 , 4 ) 41
( 56 , 56 ) 19
( 56 , 33 ) 16
( 57 , 64 ) 19
( 57 , 51 ) 29
( 58 , 45 ) 20
( 58 , 77 ) 25
( 59 , 57 ) 39
( 59 , 20 ) 27
( 60 , 53 ) 2
( 60 , 50 ) 7
( 61 , 49 ) 30
( 61 , 53 ) 45
( 62 , 2 ) 5
( 62 , 5 ) 32
( 63 , 25 ) 17
( 63 , 70 ) 36
( 64 , 37 ) 49
( 64 , 10 ) 30
( 65 , 74 ) 15
( 65 , 80 ) 23
( 66 , 40 ) 40
( 66 , 71 ) 6
( 67 , 1 ) 27
( 67 , 33 ) 10
( 68 , 26 ) 12
( 68 , 18 ) 15
( 69 , 51 ) 28
( 69 , 17 ) 37
( 70 , 36 ) 48
( 70 , 61 ) 41
( 71 , 22 ) 10
( 71 , 67 ) 6
( 72 , 65 ) 15
( 72 , 51 ) 3
( 73 , 3 ) 39
( 73 , 14 ) 6
( 74 , 62 ) 18
( 74 , 62 ) 36
( 75 , 41 ) 47
( 75 , 14 ) 7
( 76 , 14 ) 29
( 76 , 39 ) 46
( 77 , 66 ) 37
( 77 , 52 ) 26
( 78 , 70 ) 7
( 78 , 29 ) 1
( 79 , 56 ) 9
( 79 , 36 ) 17
( 80 , 20 ) 43
( 80 , 41 ) 33
( 81 , 52 ) 44
( 81 , 81 ) 45
