( 1 , 211 ) 7
( 1 , 36 ) 46
( 1 , 2 ) 18
( 2 , 77 ) 11
( 2 , 96 ) 25
( 2 , 161 ) 40
( 3 , 56 ) 36
( 3 , 200 ) 44
( 3 , 11 ) 27
( 4 , 154 ) 16
( 4 , 22 ) 40
( 4 , 79 ) 28
( 5 , 98 ) 11
( 5 , 147 ) 17
( 5 , 96 ) 46
( 6 , 165 ) 1
( 6 , 164 ) 47
( 6 , 47 ) 45
( 7 , 45 ) 48
( 7 , 103 ) 30
( 7 , 91 ) 39
( 8 , 218 ) 47
( 8 , 14 ) 46
( 8 , 142 ) 33
( 9 , 191 ) 21
( 9 , 175 ) 1
( 9 , 96 ) 7
( 10 , 96 ) 42
( 10 , 108 ) 2
( 10 , 78 ) 44
( 11 , 58 ) 15
( 11 , 201 ) 14
( 11 , 22 ) 8
( 12 , 144 ) 6
( 12 , 203 ) 12
( 12 , 58 ) 15
( 13 , 239 ) 44
( 13 , 156 ) 46
( 13 , 22 ) 41
( 14 , 59 ) 14
( 14 , 199 ) 43
( 14 , 160 ) 48
( 15 , 50 ) 7
( 15 , 129 ) 23
( 15 , 240 ) 17
( 16 , 142 ) 30
( 16 , 13 ) 10
( 16 , 87 ) 2
( 17 , 67 ) 5
( 17 , 202 ) 11
( 17 , 226 ) 24
( 18 , 171 ) 11
( 18 , 205 ) 35
( 18 , 41 ) 25
( 19 , 44 ) 45
( 19 , 24 ) 2
( 19 , 206 ) 45
( 20 , 121 ) 15
( 20 , 142 ) 36
( 20 , 97 ) 32
( 21 , 147 ) 30
( 21 , 152 ) 22
( 21 , 128 ) 42
( 22 , 24 ) 12
( 22 , 4 ) 49
( 22 , 88 ) 22
( 23 , 155 ) 48
( 23 , 32 ) 24
( 23 , 27 ) 30
( 24 , 163 ) 38
( 24 , 38 ) 40
( 24 , 198 ) 24
( 25 , 47 ) 3
( 25 , 187 ) 18
( 25 , 64 ) 43
( 26 , 27 ) 24
( 26 , 102 ) 13
( 26 , 115 ) 27
( 27 , 243 ) 7
( 27 , 61 ) 49
( 27 , 77 ) 28
( 28 , 62 ) 10
( 28 , 190 ) 19
( 28 , 125 ) 25
( 29 , 98 ) 45
( 29 , 207 ) 11
( 29 , 212 ) 4
( 30 , 26 ) 18
( 30 , 63 ) 8
( 30 , 23 ) 18
( 31 , 208 ) 20
( 31 , 148 ) 47
( 31 , 3 ) 30
( 32 , 192 ) 29
( 32 , 40 ) 23
( 32 , 51 ) 1
( 33 , 29 ) 42
( 33 , 18 ) 10
( 33 , 204 ) 43
( 34 , 31 ) 43
( 34 , 175 ) 1
( 34 , 82 ) 5
( 35 , 208 ) 40
( 35 , 225 ) 50
( 35 , 162 ) 9
( 36 , 106 ) 23
( 36 , 58 ) 1
( 36 , 180 ) 46
( 37 , 84 ) 42
( 37 , 6 ) 42
( 37 , 89 ) 26
( 38 , 111 ) 31
( 38 , 71 ) 50
( 38 , 117 ) 17
( 39 , 45 ) 30
( 39 , 93 ) 18
( 39 , 132 ) 24
( 40 , 134 ) 6
( 40 , 30 ) 21
( 40 , 101 ) 16
( 41 , 126 ) 24
( 41 , 168 ) 15
