( 1 , 342 ) 14
( 1 , 587 ) 30
( 1 , 190 ) 49
( 2 , 291 ) 42
( 2 , 209 ) 13
( 2 , 233 ) 25
( 3 , 508 ) 39
( 3 , 307 ) 23
( 3 , 159 ) 26
( 4 , 60 ) 23
( 4 , 333 ) 17
( 4 , 497 ) 26
( 5 , 705 ) 7
( 5 , 295 ) 39
( 5 , 219 ) 18
( 6 , 450 ) 18
( 6 , 594 ) 46
( 6 , 251 ) 35
( 7 , 277 ) 2
( 7 , 699 ) 43
( 7 , 200 ) 25
( 8 , 343 ) 39
( 8 , 526 ) 42
( 8 , 221 ) 40
( 9 , 385 ) 45
( 9 , 444 ) 12
( 9 , 115 ) 41
( 10 , 458 ) 20
( 10 , 97 ) 47
( 10 , 663 ) 12
( 11 , 178 ) 6
( 11 , 147 ) 12
( 11 , 423 ) 12
( 12 , 600 ) 22
( 12 , 431 ) 19
( 12 , 279 ) 14
( 13 , 470 ) 19
( 13 , 217 ) 23
( 13 , 477 ) 12
( 14 , 344 ) 18
( 14 , 683 ) 45
( 14 , 41 ) 21
( 15 , 369 ) 8
( 15 , 107 ) 30
( 15 , 350 ) 30
( 16 , 165 ) 14
( 16 , 17 ) 17
( 16 , 404 ) 35
( 17 , 479 ) 44
( 17 , 399 ) 29
( 17 , 576 ) 13
( 18 , 421 ) 22
( 18 , 673 ) 16
( 18 , 439 ) 18
( 19 , 195 ) 44
( 19 , 413 ) 10
( 19 , 719 ) 24
( 20 , 729 ) 28
( 20 , 284 ) 20
( 20 , 585 ) 4
( 21 , 629 ) 8
( 21 , 654 ) 34
( 21 , 676 ) 39
( 22 , 254 ) 43
( 22 , 214 ) 42
( 22 , 380 ) 23
( 23 , 587 ) 24
( 23 , 595 ) 16
( 23 , 65 ) 48
( 24 , 640 ) 10
( 24 , 231 ) 10
( 24 , 327 ) 25
( 25 , 420 ) 45
( 25 , 558 ) 12
( 25 , 495 ) 42
( 26 , 273 ) 46
( 26 , 281 ) 30
( 26 , 154 ) 31
( 27 , 16 ) 16
( 27 , 347 ) 10
( 27 , 140 ) 45
( 28 , 171 ) 16
( 28 , 287 ) 23
( 28 , 246 ) 19
( 29 , 420 ) 11
( 29 , 187 ) 43
( 29 , 317 ) 30
( 30 , 67 ) 3
( 30 , 117 ) 11
( 30 , 119 ) 43
( 31 , 12 ) 31
( 31 , 482 ) 30
( 31 , 519 ) 35
( 32 , 184 ) 27
( 32 , 259 ) 21
( 32 , 72 ) 13
( 33 , 297 ) 26
( 33 , 671 ) 50
( 33 , 213 ) 5
( 34 , 472 ) 39
( 34 , 126 ) 12
( 34 , 340 ) 41
( 35 , 25 ) 15
( 35 , 466 ) 10
( 35 , 401 ) 8
( 36 , 619 ) 7
( 36 , 24 ) 7
( 36 , 606 ) 48
( 37 , 625 ) 45
( 37 , 356 ) 38
( 37 , 6 ) 40
( 38 , 284 ) 4
( 38 , 292 ) 48
( 38 , 408 ) 40
( 39 , 12 ) 46
( 39 , 309 ) 20
( 39 , 91 ) 16
( 40 , 710 ) 42
( 40 , 443 ) 22
( 40 , 329 ) 26
( 41 , 624 ) 29
( 41 , 17 ) 44
( 41 , 168 ) 17
( 42 , 47 ) 31
( 42 , 141 ) 7
( 42 , 173 ) 30
( 43 , 574 ) 17
( 43 , 505 ) 13
( 43 , 65 ) 3
( 44 , 451 ) 34
( 44 , 10 ) 17
( 44 , 296 ) 9
( 45 , 22 ) 3
( 45 , 651 ) 23
( 45 , 349 ) 4
( 46 , 622 ) 7
( 46 , 509 ) 32
( 46 , 382 ) 16
( 47 , 73 ) 21
( 47 , 519 ) 27
( 47 , 435 ) 48
( 48 , 295 ) 21
( 48 , 349 ) 13
( 48 , 416 ) 13
( 49 , 579 ) 12
( 49 , 299 ) 21
( 49 , 555 ) 17
( 50 , 403 ) 10
( 50 , 686 ) 45
( 50 , 711 ) 13
( 51 , 619 ) 42
( 51 , 394 ) 22
( 51 , 109 ) 36
( 52 , 681 ) 2
( 52 , 659 ) 6
( 52 , 250 ) 38
( 53 , 216 ) 38
( 53 , 467 ) 3
( 53 , 584 ) 13
( 54 , 509 ) 43
( 54 , 175 ) 39
( 54 , 500 ) 41
( 55 , 300 ) 19
( 55 , 685 ) 23
( 55 , 194 ) 47
( 56 , 411 ) 27
( 56 , 656 ) 8
( 56 , 237 ) 32
( 57 , 392 ) 36
( 57 , 312 ) 1
( 57 , 721 ) 5
( 58 , 430 ) 20
( 58 , 640 ) 44
( 58 , 24 ) 16
( 59 , 219 ) 29
( 59 , 710 ) 49
( 59 , 370 ) 49
( 60 , 31 ) 36
( 60 , 221 ) 13
( 60 , 665 ) 41
( 61 , 596 ) 37
( 61 , 546 ) 35
( 61 , 469 ) 8
( 62 , 25 ) 47
( 62 , 544 ) 24
( 62 , 636 ) 34
( 63 , 277 ) 42
( 63 , 184 ) 32
( 63 , 314 ) 9
( 64 , 452 ) 4
( 64 , 366 ) 39
( 64 , 261 ) 27
( 65 , 58 ) 25
( 65 , 450 ) 35
( 65 , 327 ) 15
( 66 , 566 ) 6
( 66 , 665 ) 5
( 66 , 189 ) 9
( 67 , 51 ) 7
( 67 , 557 ) 35
( 67 , 663 ) 17
( 68 , 530 ) 23
( 68 , 133 ) 25
( 68 , 331 ) 35
( 69 , 292 ) 5
( 69 , 638 ) 37
( 69 , 592 ) 30
( 70 , 714 ) 27
( 70 , 691 ) 5
( 70 , 212 ) 40
