( 1 , 25 ) 19
( 1 , 25 ) 21
( 2 , 23 ) 47
( 2 , 8 ) 13
( 3 , 14 ) 12
( 3 , 13 ) 36
( 4 , 18 ) 45
( 4 , 9 ) 42
( 5 , 4 ) 25
( 5 , 23 ) 25
( 6 , 17 ) 45
( 6 , 13 ) 29
( 7 , 19 ) 24
( 7 , 22 ) 9
( 8 , 11 ) 6
( 8 , 26 ) 13
( 9 , 4 ) 27
( 9 , 14 ) 11
( 10 , 1 ) 44
( 10 , 23 ) 5
( 11 , 19 ) 7
( 11 , 25 ) 24
( 12 , 20 ) 27
( 12 , 2 ) 16
( 13 , 23 ) 35
( 13 , 23 ) 9
( 14 , 14 ) 35
( 14 , 24 ) 7
( 15 , 9 ) 41
( 15 , 2 ) 10
( 16 , 24 ) 39
( 16 , 24 ) 28
( 17 , 26 ) 36
( 17 , 9 ) 41
( 18 , 17 ) 36
( 18 , 16 ) 25
( 19 , 12 ) 35
( 19 , 10 ) 42
( 20 , 4 ) 40
( 20 , 6 ) 28
( 21 , 26 ) 9
( 21 , 21 ) 21
( 22 , 1 ) 26
( 22 , 10 ) 24
( 23 , 11 ) 41
( 23 , 25 ) 47
( 24 , 24 ) 12
( 24 , 20 ) 38
( 25 , 20 ) 25
( 25 , 19 ) 1
( 26 , 9 ) 38
( 26 , 20 ) 4
( 27 , 21 ) 29
( 27 , 1 ) 22
