( 1 , 53 ) 6
( 1 , 37 ) 3
( 2 , 39 ) 17
( 2 , 1 ) 44
( 3 , 56 ) 48
( 3 , 33 ) 49
( 4 , 60 ) 32
( 4 , 54 ) 35
( 5 , 13 ) 32
( 5 , 43 ) 1
( 6 , 52 ) 17
( 6 , 3 ) 36
( 7 , 42 ) 24
( 7 , 27 ) 14
( 8 , 10 ) 6
( 8 , 59 ) 43
( 9 , 25 ) 31
( 9 , 29 ) 18
( 10 , 76 ) 27
( 10 , 18 ) 20
( 11 , 13 ) 9
( 11 , 1 ) 46
( 12 , 3 ) 36
( 12 , 62 ) 30
( 13 , 31 ) 27
( 13 , 60 ) 45
( 14 , 33 ) 47
( 14 , 23 ) 23
( 15 , 73 ) 10
( 15 , 51 ) 30
( 16 , 1 ) 9
( 16 , 47 ) 14
( 17 , 80 ) 47
( 17 , 35 ) 33
( 18 , 4 ) 11
( 18 , 17 ) 1
( 19 , 65 ) 46
( 19 , 70 ) 34
( 20 , 43 ) 14
( 20 , 77 ) 14
( 21 , 18 ) 16
( 21 , 38 ) 7
( 22 , 24 ) 2
( 22 , 59 ) 2
( 23 , 66 ) 42
( 23 , 65 ) 45
( 24 , 2 ) 35
( 24 , 45 ) 47
( 25 , 59 ) 41
( 25 , 65 ) 17
( 26 , 72 ) 13
( 26 , 79 ) 9
( 27 , 20 ) 41
( 27 , 50 ) 5
( 28 , 74 ) 15
( 28 , 56 ) 38
( 29 , 19 ) 33
( 29 , 18 ) 12
( 30 , 4 ) 28
( 30 , 71 ) 42
( 31 , 42 ) 29
( 31 , 50 ) 2
( 32 , 51 ) 19
( 32 , 43 ) 38
( 33 , 35 ) 8
( 33 , 63 ) 39
( 34 , 64 ) 49
( 34 , 6 ) 12
( 35 , 81 ) 27
( 35 , 67 ) 20
( 36 , 27 ) 45
( 36 , 44 ) 47
( 37 , 3 ) 14
( 37 , 26 ) 17
( 38 , 68 ) 24
( 38 , 77 ) 9
( 39 , 18 ) 35
( 39 , 73 ) 35
( 40 , 58 ) 35
( 40 , 67 ) 14
( 41 , 57 ) 27
( 41 , 49 ) 41
( 42 , 31 ) 1
( 42 , 25 ) 21
( 43 , 65 ) 10
( 43 , 35 ) 26
( 44 , 33 ) 24
( 44 , 26 ) 30
( 45 , 17 ) 46
( 45 , 36 ) 21
( 46 , 32 ) 45
( 46 , 68 ) 43
( 47 , 60 ) 4
( 47 , 20 ) 31
( 48 , 15 ) 21
( 48 , 49 ) 27
( 49 , 35 ) 11
( 49 , 4 ) 13
( 50 , 36 ) 11
( 50 , 8 ) 9
( 51 , 14 ) 48
( 51 , 18 ) 8
( 52 , 29 ) 30
( 52 , 70 ) 19
( 53 , 36 ) 7
( 53 , 60 ) 36
( 54 , 81 ) 14
( 54 , 78 ) 49
( 55 , 62 ) 7
( 55 , 12 ) 15
( 56 , 2 ) 22
( 56 , 45 ) 25
( 57 , 20 ) 31
( 57 , 45 ) 8
( 58 , 58 ) 50
( 58 , 43 ) 11
( 59 , 71 ) 36
( 59 , 75 ) 50
( 60 , 74 ) 40
( 60 , 62 ) 14
( 61 , 28 ) 41
( 61 , 16 ) 36
( 62 , 69 ) 4
( 62 , 77 ) 44
( 63 , 52 ) 30
( 63 , 44 ) 7
( 64 , 52 ) 36
( 64 , 40 ) 35
( 65 , 41 ) 9
( 65 , 51 ) 3
( 66 , 80 ) 47
( 66 , 67 ) 5
( 67 , 78 ) 19
( 67 , 58 ) 12
( 68 , 18 ) 5
( 68 , 9 ) 19
( 69 , 13 ) 29
( 69 , 20 ) 22
( 70 , 27 ) 12
( 70 , 11 ) 35
( 71 , 6 ) 14
( 71 , 62 ) 44
( 72 , 45 ) 46
( 72 , 77 ) 46
( 73 , 39 ) 1
( 73 , 52 ) 7
( 74 , 45 ) 47
( 74 , 60 ) 1
( 75 , 17 ) 1
( 75 , 80 ) 35
( 76 , 2 ) 43
( 76 , 64 ) 4
( 77 , 41 ) 38
( 77 , 48 ) 23
( 78 , 53 ) 21
( 78 , 72 ) 12
( 79 , 43 ) 5
( 79 , 77 ) 1
( 80 , 57 ) 24
( 80 , 44 ) 40
( 81 , 44 ) 37
( 81 , 22 ) 3
